,Unnamed: 0,date,symbol,eps,epsEstimated,time,revenue,revenueEstimated,fiscalDateEnding,updatedFromDate
173002,328,2004-01-22,MSFT,0.34,0.3,amc,10153000000.0,8958529411.764704,2003-12-30,2023-05-17
175657,2983,2004-02-12,NVDA,0.03,0.01076,bmo,472119000.0,188840000.0,2004-01-30,2023-05-17
176461,3787,2004-03-11,ORCL,0.12,0.12,bmo,2509000000.0,2509000000.0,2004-02-28,2023-05-17
181665,80,2004-04-14,AAPL,0.00217,0.00149,amc,1909000000.0,1909000000.0,2004-03-26,2023-05-17
182308,723,2004-04-22,MSFT,0.34,0.29,amc,9175000000.0,7825735294.117646,2004-03-30,2023-05-17
183365,1780,2004-05-06,NVDA,0.02,0.00846,bmo,471905000.0,176962500.0,2004-04-24,2023-05-17
184008,2423,2004-06-15,ORCL,0.19,0.18,bmo,3076000000.0,2905111111.0,2004-05-30,2023-05-17
189180,105,2004-07-14,AAPL,0.00277,0.00241,amc,2014000000.0,2014000000.0,2004-06-25,2023-05-17
189662,587,2004-07-22,MSFT,0.28,0.29,amc,9292000000.0,9612413793.0,2004-06-29,2023-05-17
190863,1788,2004-08-05,NVDA,0.02,0.05,bmo,456061000.0,338654250.0,2004-07-24,2023-05-17
191560,2485,2004-09-14,ORCL,0.1,0.09,bmo,2215000000.0,1968888888.0,2004-08-30,2023-05-17
196734,70,2004-10-13,AAPL,0.00452,0.00306,amc,2350000000.0,3172500000.0,2004-09-24,2023-05-17
197184,520,2004-10-21,MSFT,0.31,0.3,amc,9189000000.0,8892580645.161291,2004-09-29,2023-05-17
197213,549,2004-10-21,GOOGL,0.02,0.01608,bmo,805887000.0,604500000.0,2004-09-29,2023-05-17
198418,1754,2004-11-04,NVDA,0.02,0.0077,bmo,515591000.0,193350000.0,2004-10-23,2023-05-17
199174,2510,2004-12-13,ORCL,0.16,0.14,bmo,2756000000.0,2362285714.0,2004-11-29,2023-05-17
202828,43,2005-01-12,AAPL,0.01257,0.00874,amc,3490000000.0,2879249998.5,2004-12-24,2023-05-17
203445,660,2005-01-27,MSFT,0.35,0.33,amc,10818000000.0,10199828571.428572,2004-12-30,2023-05-17
205505,2720,2005-02-01,GOOGL,0.02,0.01674,bmo,3189223000.0,846769230.0,2004-12-30,2023-05-17
206249,3464,2005-02-17,NVDA,0.03,0.01692,bmo,566476000.0,348615384.61538464,2005-01-29,2023-05-17
207116,4331,2005-03-22,ORCL,0.16,0.15,bmo,2950000000.0,2753333333.0,2005-02-27,2023-05-17
212714,83,2005-04-13,AAPL,0.01209,0.00865,amc,3243000000.0,2675474997.75,2005-03-25,2023-05-17
213128,497,2005-04-21,GOOGL,0.03,0.02131,bmo,1256516000.0,1217377173.0,2005-03-30,2023-05-17
213772,1141,2005-04-28,MSFT,0.32,0.32,amc,9620000000.0,9620000000.0,2005-03-30,2023-05-17
214840,2209,2005-05-12,NVDA,0.06,0.02481,bmo,583846000.0,228443478.26086956,2005-04-30,2023-05-17
220165,7534,2005-06-29,ORCL,0.26,0.23,bmo,3878000000.0,3372173913.0,2005-05-30,2023-05-17
220837,51,2005-07-13,AAPL,0.01328,0.01126,amc,3520000000.0,2816000000.0,2005-06-24,2023-05-17
221168,382,2005-07-21,MSFT,0.32,0.31,amc,10161000000.0,9843468750.0,2005-06-29,2023-05-17
221297,511,2005-07-21,GOOGL,0.03,0.02673,bmo,1384495000.0,1225180327.0,2005-06-29,2023-05-17
222979,2193,2005-08-11,NVDA,0.03,0.0247,bmo,574812000.0,451628571.42857134,2005-07-30,2023-05-17
223517,2731,2005-09-22,ORCL,0.14,0.14,bmo,2768000000.0,2768000000.0,2005-08-30,2023-05-17
229095,35,2005-10-11,AAPL,0.01757,0.0172,amc,3678000000.0,5792850000.0,2005-09-23,2023-05-17
229475,415,2005-10-20,GOOGL,0.04,0.03601,bmo,1578456000.0,1392352941.0,2005-09-29,2023-05-17
230081,1021,2005-10-27,MSFT,0.31,0.3,amc,9741000000.0,9426774193.548388,2005-09-29,2023-05-17
231185,2125,2005-11-09,NVDA,0.04,0.03447,bmo,583415000.0,500057142.8571428,2005-10-29,2023-05-17
231829,2769,2005-12-15,ORCL,0.19,0.19,bmo,3292000000.0,3292000000.0,2005-11-29,2023-05-17
235778,130,2006-01-18,AAPL,0.02,0.01868,amc,5749000000.0,5749000000.0,2005-12-30,2023-05-17
236216,568,2006-01-26,MSFT,0.33,0.33,amc,11837000000.0,11837000000.0,2005-12-30,2023-05-17
238555,2907,2006-01-31,GOOGL,0.04,0.04576,bmo,6138560000.0,2158875000.0,2005-12-30,2023-05-17
239312,3664,2006-02-16,NVDA,0.04,0.03692,bmo,633614000.0,563200000.0,2006-01-28,2023-05-17
240348,4700,2006-03-20,ORCL,0.19,0.18,bmo,3470000000.0,3277222222.0,2006-02-27,2023-05-17
246586,238,2006-04-19,AAPL,0.02,0.01848,amc,4359000000.0,3736285714.2857137,2006-03-31,2023-05-17
246690,342,2006-04-20,GOOGL,0.06,0.05,bmo,2253755000.0,1889717171.0,2006-03-30,2023-05-17
247364,1016,2006-04-27,MSFT,0.32,0.33,amc,10900000000.0,11240625000.0,2006-03-30,2023-05-17
248650,2302,2006-05-11,NVDA,0.05,0.05,bmo,681807000.0,681800000.0,2006-04-29,2023-05-17
249250,2902,2006-06-22,ORCL,0.29,0.28,bmo,4851000000.0,4682758620.689656,2006-05-30,2023-05-17
255403,265,2006-07-20,MSFT,0.31,0.3,amc,11804000000.0,11423225806.451612,2006-06-29,2023-05-17
255460,322,2006-07-20,GOOGL,0.06,0.06,bmo,2455991000.0,2146234234.0,2006-06-29,2023-05-17
258090,2952,2006-09-19,ORCL,0.18,0.16,bmo,3591000000.0,3192000000.0,2006-08-30,2023-05-17
264280,184,2006-10-18,AAPL,0.02,0.01632,amc,4837000000.0,7307325000.0,2006-09-29,2023-05-17
264330,234,2006-10-19,GOOGL,0.07,0.06,bmo,2689673000.0,2467685950.0,2006-09-29,2023-05-17
265025,929,2006-10-26,MSFT,0.35,0.31,amc,10811000000.0,9575457142.857143,2006-09-29,2023-05-17
266315,2219,2006-11-09,NVDA,0.07,0.06,bmo,820572000.0,820600000.0,2006-10-28,2023-05-17
267109,3013,2006-12-18,ORCL,0.22,0.22,bmo,4163000000.0,4163000000.0,2006-11-29,2023-05-17
271135,85,2007-01-17,AAPL,0.04,0.02752,amc,7115000000.0,4897062500.0,2006-12-29,2023-05-17
271481,431,2007-01-25,MSFT,0.26,0.23,amc,12542000000.0,11094846153.846151,2006-12-30,2023-05-17
274120,3070,2007-01-31,GOOGL,0.08,0.07,bmo,10604917000.0,2919623287.0,2006-12-30,2023-05-17
274791,3741,2007-02-13,NVDA,0.09,0.07,bmo,878873000.0,703120000.0000001,2007-01-27,2023-05-17
276213,5163,2007-03-20,ORCL,0.25,0.23,bmo,4414000000.0,4060880000.0,2007-02-27,2023-05-17
283320,238,2007-04-19,GOOGL,0.09,0.08,bmo,3663971000.0,3242084848.0,2007-03-30,2023-05-17
283670,588,2007-04-25,AAPL,0.03,0.02207,amc,5264000000.0,3948000000.0,2007-03-30,2023-05-17
284005,923,2007-04-26,MSFT,0.49,0.46,amc,14398000000.0,13516489795.918367,2007-03-30,2023-05-17
285406,2324,2007-05-10,NVDA,0.07,0.06,bmo,844280000.0,783992857.1428571,2007-04-29,2023-05-17
286298,3216,2007-06-26,ORCL,0.37,0.35,bmo,5829000000.0,5512972972.972973,2007-05-30,2023-05-17
293282,260,2007-07-19,MSFT,0.39,0.39,amc,13371000000.0,13371000000.0,2007-06-29,2023-05-17
293299,277,2007-07-19,GOOGL,0.09,0.09,bmo,3871985000.0,3915022222.0,2007-06-29,2023-05-17
293722,700,2007-07-25,AAPL,0.03,0.02361,amc,5410000000.0,4161538461.5384617,2007-06-29,2023-05-17
295400,2378,2007-08-09,NVDA,0.09,0.07,bmo,935253000.0,770247058.8235294,2007-07-30,2023-05-17
296284,3262,2007-09-20,ORCL,0.22,0.21,bmo,4529000000.0,4323136363.636363,2007-08-30,2023-05-17
303318,225,2007-10-18,GOOGL,0.1,0.09,bmo,4231351000.0,4074296296.0,2007-09-29,2023-05-17
